response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,log_2_fold_change,stage,z_orig,xi,omega,alpha,significant
X12,Fzd4,1099,163280,TRUE,0.011671409999621234,0.07211586525539815,2,1.8888163343993232,-1.6369141232994826,1.279703766190109,0.8531579300647792,FALSE
X61,Rbpj,1040,84652,TRUE,0.011675112049886497,0.10661932386626916,2,1.214103254956276,-0.225349810528054,0.6246971939701208,-0.22628996519825945,FALSE
X55,Dlg1,278,52408,TRUE,0.011677023052029778,0.029008224693291673,2,-1.9746681932030732,-0.866454318215393,0.995232746340744,1.394347348503272,FALSE
X47,Epha4,647,70465,TRUE,0.011757634775174691,-0.004739708608930471,2,-1.855528766247166,-0.6415136693066843,0.8294140641493961,0.9623189120211274,FALSE
X2,Ephb4,847,161377,TRUE,0.011766530407630309,-0.08359392039476177,2,-1.2633590424574617,0.06807478108759657,0.7343174854366766,0.6378717426111462,FALSE
X39,Fzd4,711,107096,TRUE,0.011767570860292398,0.1022155867759631,2,2.235609712032061,-0.052370923676680836,0.8318790817451562,0.7577424935161995,FALSE
X21,Tfdp1,363,94792,TRUE,0.011783530667746178,0.20973060507931152,2,2.5199409078853163,-0.3858560315545947,1.0552223928570899,1.3273737815018851,FALSE
X76,Nr4a2,835,80239,TRUE,0.011785728332206723,-0.127719282597611,2,-1.5458031013518734,0.7275581008616786,1.118593099624346,0.45504289257087,FALSE
X7,Acvr2a,1075,152603,TRUE,0.011858999101445732,0.015407344562765601,2,1.5255560288403802,-1.441057834205839,1.089421482399666,0.4610115896131185,FALSE
X78,Egln2,419,45637,TRUE,0.011894013586216456,0.03385823037577396,2,2.924672264728357,-0.27934541016337644,1.164805596461219,1.6492506068805861,FALSE
X86,Nr3c1,320,37913,TRUE,0.011909181759963406,-0.22787403642185833,2,1.0127751819438264,-1.4543237700839993,0.8970500580289645,1.2555039329929771,FALSE
X5,Gata2,1247,130310,TRUE,0.011952702929622161,0.11853174853234982,2,2.0278564148823683,0.04053912043577318,0.7238139846105741,0.7717933323053143,FALSE
X41,Atf3,711,54780,TRUE,0.011965803869471273,0.002831547240434773,2,1.2796143615058173,-0.7825503671056012,0.7503523538420201,1.0081995170065599,FALSE
X74,Nfia,1625,108914,TRUE,0.01198334586489852,0.061974428565910955,2,1.5035266399655658,-0.7992530663428588,0.8393196860427294,0.7344939251089291,FALSE
X37,Eno1,816,85605,TRUE,0.011998532202819738,0.08924872779455484,2,2.6506816643310867,-0.23344049794623428,1.0496034913145584,1.565948791313033,FALSE
X83,Nr4a2,746,68701,TRUE,0.012,-0.217074884659604,3,2.1514715424272084,NA,NA,NA,FALSE
X74,Vezf1,1113,109426,TRUE,0.012006524212065996,0.08227050183905238,2,1.6226515623592772,-0.8164708763837378,0.8880457502454622,0.9236388054187906,FALSE
X41,Dach1,1123,54368,TRUE,0.01204273686005541,0.07248850883667046,2,1.1441608807729085,-0.8756539089123039,0.7355049727213594,1.0090345704601906,FALSE
X25,Gata2,1264,125945,TRUE,0.012062646909384647,0.03795396434561482,2,1.1078488246899891,-1.5455502856355783,0.9704224026132472,0.6030142113589635,FALSE
X63,Epas1,724,48509,TRUE,0.012082129371508446,0.12577834361851092,2,3.97596562334857,0.9799454495485408,1.0913576452489182,1.0461092662113505,FALSE
X72,Nr6a1,769,117534,TRUE,0.012111942303732859,-0.44689737872552193,2,-4.194594132008762,-1.9477659251203052,3.191583030140285,2.2317436156393624,FALSE
X39,Calcrl,982,106825,TRUE,0.012184154513951925,0.014574278115738082,2,2.2100907569236985,-0.0676642730411679,0.8311407689547773,0.8266635154302633,FALSE
X60,Nr4a2,1599,132237,TRUE,0.01226481006838806,0.05341449739495019,2,1.4237416253813868,-1.472598485549822,1.058076382415159,0.7820548611731603,FALSE
X38,Vezf1,796,67336,TRUE,0.012287348291810135,-0.059064256738815324,2,-0.8861539242376486,0.2518107903797132,0.895978155324472,1.1670985167299481,FALSE
X1,Mdh2,987,178964,TRUE,0.01230004462238447,0.07233306150311059,2,1.8586324233034657,-0.01534529759830508,0.6947284712191715,0.3937862776672985,FALSE
X19,Gata2,1320,151114,TRUE,0.012345082552105157,-0.06370963413090802,2,-3.830693277756459,-1.1726862330494527,0.988518384908931,-0.3640286318229729,FALSE
X8,Ccm2,1162,142231,TRUE,0.012346517512715496,-0.08860359637386139,2,-1.8985724274356854,-0.5853300964379615,0.7692646812503956,0.7171924655232034,FALSE
X23,Ptprs,853,139985,TRUE,0.012354742574473821,0.05172521110420636,2,1.1630534797167318,-0.8530971505185068,0.7377573891045982,0.7159219715101242,FALSE
X6,Prdm1,1281,129023,TRUE,0.012436687133300671,0.056009590195815306,2,2.483200285118079,-0.8787313805793359,1.2287584829504599,1.582402544171657,FALSE
X49,Id3,603,89594,TRUE,0.012438049873106602,0.1942172904222481,2,1.302228663263547,-1.0933765628648424,0.8755906912622229,1.3305452347613085,FALSE
X61,Ncl,757,84935,TRUE,0.012533522718724545,0.08125108685160143,2,1.2063928517745401,-0.8413644640830635,0.7492599154753239,1.015715211722369,FALSE
X10,Klf12,1901,150710,TRUE,0.01263743977270692,-0.0790853554031603,2,-2.390226560904625,-0.32881215988762424,1.0556039322732385,0.5018781651927897,FALSE
X23,Pik3r3,1373,139465,TRUE,0.012648582818880476,0.07808605602566399,2,1.1584042031369433,-0.9750889533642615,0.7819723486726526,0.8382635786102539,FALSE
X47,Adgrl1,259,70853,TRUE,0.01267662777416284,-0.2704029634168057,2,-1.8991598580579538,-0.7954046711714742,0.8587612352490299,1.1390717265909478,FALSE
X55,Adgrl2,295,52391,TRUE,0.01268665993650897,-0.25752583081211355,2,-1.9472224414977866,-0.9025028191044976,0.9887712373875395,1.4530590728990782,FALSE
X54,Flrt2,388,48999,TRUE,0.012731235553240239,0.0358164287131828,2,-2.1859988809399558,-0.9359053814600943,0.9985930105838604,1.1786912014924817,FALSE
X61,Gnai2,389,85303,TRUE,0.012768763263635869,0.181781762701263,2,1.2228726061875888,-0.7742961026210564,0.7325121342279834,0.9417207396301852,FALSE
X8,Mpzl1,712,142681,TRUE,0.012817885149095723,-8.259870297795402e-4,2,1.612166123527996,-0.9185048804631564,0.9283428287742895,1.1903817731825492,FALSE
